k,h,det_2.0kW,lat_2.0kW,det_1.25kW,lat_1.25kW,fp_rate,D0_fp_ref
0.05,0.1,1.0,24.0,1.0,34.0,0.34118935234996256,0.0
0.05,0.2,1.0,26.5,1.0,36.0,0.25926394293113264,0.0
0.05,0.3,1.0,27.5,1.0,36.5,0.18731134118366605,0.0
0.05,0.4,1.0,29.0,1.0,38.5,0.1631455407470384,0.0
0.05,0.6,1.0,31.0,1.0,41.0,0.1260022191554365,0.0
0.05,0.8,1.0,33.5,1.0,44.5,0.09957399400629219,0.0
0.05,1.0,1.0,34.5,1.0,46.0,0.0771908017443425,0.0
0.05,1.5,1.0,37.0,1.0,51.0,0.04031516211904081,0.0
0.05,2.0,1.0,41.0,1.0,58.0,0.02620448473602338,0.0
0.05,3.0,1.0,49.5,1.0,67.5,0.0059207739019912446,0.0
0.1,0.1,1.0,29.0,1.0,42.5,0.0669405383685732,0.0
0.1,0.2,1.0,33.0,1.0,47.0,0.04467330951465174,0.0
0.1,0.3,1.0,35.0,1.0,49.0,0.034241509896837344,0.0
0.1,0.4,1.0,36.5,1.0,51.0,0.02411793771897459,0.0
0.1,0.6,1.0,39.0,1.0,55.5,0.012162700981228439,0.0
0.1,0.8,1.0,41.0,1.0,59.0,0.002097902097902098,0.0
0.1,1.0,1.0,42.0,1.0,61.5,0.0,0.0
0.1,1.5,1.0,48.0,1.0,67.0,0.0,0.0
0.1,2.0,1.0,52.5,1.0,73.5,0.0,0.0
0.1,3.0,1.0,58.5,1.0,98.0,0.0,0.0
0.15,0.1,1.0,38.0,1.0,55.5,0.014196729661980972,0.0
0.15,0.2,1.0,41.0,1.0,58.5,0.002097902097902098,0.0
0.15,0.3,1.0,43.5,1.0,62.5,0.0,0.0
0.15,0.4,1.0,44.5,1.0,65.5,0.0,0.0
0.15,0.6,1.0,47.0,1.0,71.5,0.0,0.0
0.15,0.8,1.0,49.0,1.0,78.0,0.0,0.0
0.15,1.0,1.0,51.0,1.0,87.5,0.0,0.0
0.15,1.5,1.0,55.5,1.0,99.0,0.0,0.0
0.15,2.0,1.0,59.5,0.975,119.0,0.0,0.0
0.15,3.0,1.0,66.0,0.875,137.0,0.0,0.0
0.2,0.1,1.0,46.0,0.975,84.0,0.0,0.0
0.2,0.2,1.0,47.5,0.975,94.0,0.0,0.0
0.2,0.3,1.0,49.5,0.975,97.0,0.0,0.0
0.2,0.4,1.0,51.5,0.95,98.0,0.0,0.0
0.2,0.6,1.0,55.0,0.9,101.0,0.0,0.0
0.2,0.8,1.0,57.5,0.85,109.5,0.0,0.0
0.2,1.0,1.0,59.5,0.775,121.0,0.0,0.0
0.2,1.5,1.0,64.0,0.775,136.0,0.0,0.0
0.2,2.0,1.0,69.5,0.65,137.5,0.0,0.0
0.2,3.0,1.0,78.0,0.525,148.0,0.0,0.0
0.3,0.1,1.0,66.5,0.425,142.0,0.0,0.0
0.3,0.2,1.0,73.5,0.375,146.0,0.0,0.0
0.3,0.3,1.0,75.0,0.3,144.0,0.0,0.0
0.3,0.4,1.0,78.0,0.25,145.5,0.0,0.0
0.3,0.6,1.0,84.0,0.15,146.5,0.0,0.0
0.3,0.8,1.0,87.0,0.1,177.5,0.0,0.0
0.3,1.0,1.0,93.0,0.025,72.0,0.0,0.0
0.3,1.5,0.975,104.0,0.025,79.0,0.0,0.0
0.3,2.0,0.9,115.5,0.025,84.0,0.0,0.0
0.3,3.0,0.85,140.0,0.025,236.0,0.0,0.0
