config,ramp_s,onset_ratio,detection_rate,ci_lo,ci_hi,mean_fp_rate
D0_deployed,120,0.03333333333333333,1.0,1.0,1.0,0.0
D0_deployed,300,0.08333333333333333,1.0,1.0,1.0,0.0
D0_deployed,600,0.16666666666666666,1.0,1.0,1.0,0.0
D0_deployed,1080,0.3,1.0,1.0,1.0,0.0
D0_deployed,1440,0.4,1.0,1.0,1.0,0.0
D0_deployed,1800,0.5,0.96,0.92,0.99,0.0
D0_deployed,2160,0.6,0.91,0.85,0.96,0.0
D0_deployed,2520,0.7,0.84,0.76,0.91,0.0
D0_deployed,2880,0.8,0.77,0.68,0.85,0.0
D0_deployed,3240,0.9,0.57,0.47,0.6602499999999987,0.0
D0_deployed,3600,1.0,0.46,0.37,0.56,0.0
D0_deployed,5400,1.5,0.29,0.2,0.38,0.0
D0_deployed,7200,2.0,0.24,0.16,0.33,0.0
D2_anchored_cusum,120,0.03333333333333333,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,300,0.08333333333333333,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,600,0.16666666666666666,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,1080,0.3,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,1440,0.4,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,1800,0.5,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,2160,0.6,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,2520,0.7,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,2880,0.8,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,3240,0.9,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,3600,1.0,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,5400,1.5,1.0,1.0,1.0,0.028909556771102077
D2_anchored_cusum,7200,2.0,1.0,1.0,1.0,0.028909556771102077
