config,ramp_s,onset_ratio,detection_rate,ci_lo,ci_hi,median_latency_min,mean_fp_rate,n
D0_deployed,120,0.03333333333333333,0.975,0.95,0.995,13.0,0.0,200
D0_deployed,300,0.08333333333333333,0.975,0.95,0.995,15.0,0.0,200
D0_deployed,600,0.16666666666666666,0.97,0.945,0.99,18.0,0.0,200
D0_deployed,1080,0.3,0.905,0.86,0.94,23.0,0.0,200
D0_deployed,1440,0.4,0.83,0.775,0.88,27.0,0.0,200
D0_deployed,1800,0.5,0.71,0.65,0.775,31.0,0.0,200
D0_deployed,2160,0.6,0.625,0.555,0.69,35.0,0.0,200
D0_deployed,2520,0.7,0.49,0.42,0.565,39.0,0.0,200
D0_deployed,2880,0.8,0.405,0.34,0.4701249999999993,42.0,0.0,200
D0_deployed,3240,0.9,0.29,0.225,0.3501249999999993,45.5,0.0,200
D0_deployed,3600,1.0,0.235,0.18,0.2951249999999993,47.0,0.0,200
D0_deployed,5400,1.5,0.06,0.03,0.095,66.5,0.0,200
D0_deployed,7200,2.0,0.035,0.01,0.065,108.0,0.0,200
D1_anchored,120,0.03333333333333333,1.0,1.0,1.0,13.0,0.0,200
D1_anchored,300,0.08333333333333333,1.0,1.0,1.0,14.0,0.0,200
D1_anchored,600,0.16666666666666666,1.0,1.0,1.0,16.0,0.0,200
D1_anchored,1080,0.3,1.0,1.0,1.0,21.0,0.0,200
D1_anchored,1440,0.4,1.0,1.0,1.0,25.0,0.0,200
D1_anchored,1800,0.5,1.0,1.0,1.0,30.0,0.0,200
D1_anchored,2160,0.6,1.0,1.0,1.0,33.0,0.0,200
D1_anchored,2520,0.7,1.0,1.0,1.0,37.0,0.0,200
D1_anchored,2880,0.8,1.0,1.0,1.0,42.0,0.0,200
D1_anchored,3240,0.9,1.0,1.0,1.0,47.0,0.0,200
D1_anchored,3600,1.0,1.0,1.0,1.0,51.0,0.0,200
D1_anchored,5400,1.5,1.0,1.0,1.0,75.5,0.0,200
D1_anchored,7200,2.0,1.0,1.0,1.0,97.0,0.0,200
D2_anchored_cusum,120,0.03333333333333333,1.0,1.0,1.0,13.0,0.0024208277067658645,200
D2_anchored_cusum,300,0.08333333333333333,1.0,1.0,1.0,14.0,0.0024208277067658645,200
D2_anchored_cusum,600,0.16666666666666666,1.0,1.0,1.0,17.0,0.0024208277067658645,200
D2_anchored_cusum,1080,0.3,1.0,1.0,1.0,21.0,0.0024208277067658645,200
D2_anchored_cusum,1440,0.4,1.0,1.0,1.0,24.0,0.0024208277067658645,200
D2_anchored_cusum,1800,0.5,1.0,1.0,1.0,27.0,0.0024208277067658645,200
D2_anchored_cusum,2160,0.6,1.0,1.0,1.0,30.0,0.0024208277067658645,200
D2_anchored_cusum,2520,0.7,1.0,1.0,1.0,33.0,0.0024208277067658645,200
D2_anchored_cusum,2880,0.8,1.0,1.0,1.0,36.0,0.0024208277067658645,200
D2_anchored_cusum,3240,0.9,1.0,1.0,1.0,39.0,0.0024208277067658645,200
D2_anchored_cusum,3600,1.0,1.0,1.0,1.0,41.5,0.0024208277067658645,200
D2_anchored_cusum,5400,1.5,1.0,1.0,1.0,56.0,0.0024208277067658645,200
D2_anchored_cusum,7200,2.0,1.0,1.0,1.0,71.5,0.0024208277067658645,200
D2_periodic,120,0.03333333333333333,0.355,0.29,0.4151249999999993,39.0,0.01109928736082478,200
D2_periodic,300,0.08333333333333333,0.525,0.455,0.595,38.0,0.01109928736082478,200
D2_periodic,600,0.16666666666666666,0.685,0.62,0.75,29.0,0.01109928736082478,200
D2_periodic,1080,0.3,0.75,0.69,0.81,29.0,0.01109928736082478,200
D2_periodic,1440,0.4,0.8,0.74,0.855,31.5,0.01109928736082478,200
D2_periodic,1800,0.5,0.855,0.805,0.9,35.0,0.01109928736082478,200
D2_periodic,2160,0.6,0.88,0.835,0.925,37.5,0.01109928736082478,200
D2_periodic,2520,0.7,0.91,0.87,0.945,41.5,0.01109928736082478,200
D2_periodic,2880,0.8,0.95,0.919875,0.98,46.0,0.01109928736082478,200
D2_periodic,3240,0.9,0.97,0.945,0.99,50.0,0.01109928736082478,200
D2_periodic,3600,1.0,0.985,0.965,1.0,53.0,0.01109928736082478,200
D2_periodic,5400,1.5,1.0,1.0,1.0,69.5,0.01109928736082478,200
D2_periodic,7200,2.0,0.97,0.945,0.99,86.0,0.01109928736082478,200
D2_periodic_gated,120,0.03333333333333333,1.0,1.0,1.0,12.0,0.012307098250380082,200
D2_periodic_gated,300,0.08333333333333333,1.0,1.0,1.0,13.0,0.012307098250380082,200
D2_periodic_gated,600,0.16666666666666666,1.0,1.0,1.0,16.0,0.012307098250380082,200
D2_periodic_gated,1080,0.3,1.0,1.0,1.0,26.0,0.012307098250380082,200
D2_periodic_gated,1440,0.4,1.0,1.0,1.0,28.0,0.012307098250380082,200
D2_periodic_gated,1800,0.5,1.0,1.0,1.0,32.0,0.012307098250380082,200
D2_periodic_gated,2160,0.6,1.0,1.0,1.0,34.0,0.012307098250380082,200
D2_periodic_gated,2520,0.7,1.0,1.0,1.0,37.0,0.012307098250380082,200
D2_periodic_gated,2880,0.8,1.0,1.0,1.0,40.0,0.012307098250380082,200
D2_periodic_gated,3240,0.9,1.0,1.0,1.0,44.0,0.012307098250380082,200
D2_periodic_gated,3600,1.0,1.0,1.0,1.0,47.0,0.012307098250380082,200
D2_periodic_gated,5400,1.5,1.0,1.0,1.0,66.0,0.012307098250380082,200
D2_periodic_gated,7200,2.0,1.0,1.0,1.0,83.0,0.012307098250380082,200
