detector,s,rho,p_det,p_det_lo95,n_seeds,source
D0,0.2941,0.033333,0.1,0.0435,50,sweep8_boundary.csv (fast onset)
D0,0.2941,0.166667,0.1,0.05,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.3,0.08,0.03,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.4,0.07,0.03,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.5,0.05,0.01,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.6,0.04,0.01,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.7,0.02,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.8,0.02,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,0.9,0.01,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,1.0,0.01,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,1.5,0.01,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.2941,2.0,0.01,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.033333,0.76,0.6259,50,sweep8_boundary.csv (fast onset)
D0,0.4412,0.166667,0.66,0.56,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.3,0.52,0.42,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.4,0.41,0.32,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.5,0.3,0.21,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.6,0.24,0.16,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.7,0.16,0.09,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.8,0.12,0.06,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,0.9,0.08,0.03,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,1.0,0.06,0.02,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,1.5,0.02,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.4412,2.0,0.02,0.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.033333,0.98,0.895,50,sweep8_boundary.csv (fast onset)
D0,0.5882,0.166667,0.97,0.93,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.3,0.9,0.84,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.4,0.84,0.76,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.5,0.68,0.59,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.6,0.54,0.44,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.7,0.42,0.32,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.8,0.33,0.24,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,0.9,0.23,0.15,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,1.0,0.2,0.12,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,1.5,0.06,0.02,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.5882,2.0,0.05,0.01,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.033333,1.0,0.98,200,high-severity fast onset ~1.0
D0,0.8824,0.166667,1.0,1.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.3,1.0,1.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.4,0.99,0.97,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.5,0.97,0.93,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.6,0.96,0.92,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.7,0.89,0.82,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.8,0.82,0.75,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,0.9,0.72,0.64,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,1.0,0.64,0.54,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,1.5,0.41,0.32,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,0.8824,2.0,0.17,0.1,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.033333,1.0,0.98,200,high-severity fast onset ~1.0
D0,1.1765,0.166667,1.0,1.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.3,1.0,1.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.4,1.0,1.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.6,0.99,0.97,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.7,0.99,0.96,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.8,0.99,0.97,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,0.9,0.97,0.93,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,1.0,0.94,0.89,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,1.5,0.72,0.63,200,paper2_multiseverity_summary.csv (D0_deployed)
D0,1.1765,2.0,0.56,0.47,200,paper2_multiseverity_summary.csv (D0_deployed)
